,decimalLatitude,decimalLongitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Carex_appendiculata|Russia|spm00003267|Phacocystis,55.90738079,125.9552262,-42.45454545,84.49090909,19.70909091,12341.2,187.7454545,-250.1454545,437.8909091,115.0363636,-175.9272727,119.5818182,-192.8727273,929.9272727,129.8181818,40.67272727,40.61818182,354.0363636,135.5454545,347.2909091,149.0909091
Carex_appressa|NSW|spm00002189|Heleoglochin,-36.32654607,147.6944601,132.5860392,109.4362353,48.03913725,4093.211373,253.5740392,27.44745098,226.1265882,122.6871373,149.3312157,184.311451,79.29898039,1036.374902,122.8161569,51.04847059,25.18407843,340.3680784,174.0635294,227.5669804,280.3281569
Carex_appropinquata|GER|spm00002248|Heleoglochin,56.58385605,13.59541487,62.81903627,75.2814403,27.35504369,6978.916998,208.7892507,-63.65303151,272.4422822,135.6607096,6.280910776,153.3410114,-25.57386815,693.1645486,83.26608419,37.13343924,25.77799841,232.9250728,121.2936193,217.5301827,147.0095314
Carex_aquatilis|QUE|spm00005232|Phacocystis,62.22486627,-6.606174338,9.44333996,83.5644594,25.53723811,8601.380486,183.5093286,-148.3460774,331.855406,96.96077382,-46.65254626,122.1882551,-98.68259673,644.3463832,84.10919101,31.81472702,32.95358618,229.1426059,103.1983484,194.1546873,146.9609267
Carex_arapahoensis|COL|spm00001725|Ovales,39.1111465,-106.4585171,-11.59090909,144.9545455,39.04545455,7718.909091,180.5454545,-185.5909091,366.1363636,58.13636364,6.681818182,89.09090909,-105.3636364,669.1363636,71.77272727,38.81818182,17.59090909,195.9090909,137.2727273,180.4090909,165.0454545
Carex_arcta|ASK|spm00000710|Glareosae,49.64675772,-110.2589989,41.77083333,105.4,32.82916667,8163.291667,221.5875,-118.8541667,340.4416667,61.075,35.4875,144.6333333,-63.25,1055.108333,156.7208333,31.4375,45.5,443.8125,115.6291667,172.0083333,373.0125
Carex_arctata|WIS|spm00000731|Hymenochlaenae,45.82836344,-77.44955976,47.86636971,106.0066815,25.60356347,10328.41203,249.1024499,-157.5300668,406.6325167,134.8329621,-50.50111359,174.9198218,-91.43875278,948.0200445,101.3808463,56.5077951,18.64142539,287.636971,182.6993318,274.6971047,205.7995546
Carex_arctiformis|BRC|spm00001851|Glareosae,50.95754175,-127.1838353,73.88888889,74.77777778,36,4591.666667,192,-12.55555556,204.5555556,29.66666667,131.2222222,134.8888889,19.88888889,1781,271.5555556,50.55555556,54.11111111,767.2222222,173.6666667,197.1111111,692.3333333
Carex_arenaria|DEL|spm00000733|Ammoglochin,55.29719611,8.066946616,81.92910246,60.94444444,27.02811571,5736.492025,197.0038524,-25.85029738,222.8541498,105.523993,34.40186537,155.1884969,10.79115977,762.4601244,86.0663017,40.54643147,23.83914572,248.5898216,133.1583536,200.8832117,162.4084212
Carex_argyrantha|MRY|spm00000734|Ovales,47.36630294,-73.73881506,36.64705882,101.1764706,25.82352941,10005.58824,231.8235294,-160.2941176,392.1176471,94.76470588,-33.29411765,161.1176471,-96.35294118,993.9411765,109.7058824,57.94117647,21.17647059,310.5294118,193.6470588,274.1176471,229.6470588
Carex_arkansana|ILL|spm00000737|Phaestoglochin,37.43289997,-94.26920651,136.5128205,127.9230769,32.23076923,9213.487179,328.974359,-63.56410256,392.5384615,194.8974359,38.05128205,251,12.12820513,1035.384615,132,40.58974359,33.15384615,347.974359,141.6666667,308.3846154,148.3589744
Carex_arnellii|SWE|spm00003783|Hymenochlaenae,46.92756938,109.2990278,22.125,111.5,26.125,11716.125,240.75,-201.375,442.125,165.125,-108.75,167.875,-133.5,850,145.5,28.625,62.875,391.5,94.875,390.875,101.125
Carex_assiniboinensis|MAN|spm00000722|Hymenochlaenae,49.08805074,-98.12061922,28.83333333,120.9791667,24.35416667,12698.14583,263.9791667,-224.4375,488.4166667,178.6458333,-139.6875,182.2083333,-145.1041667,506.0208333,82.64583333,14.70833333,55.75,226.4166667,51.5625,225.25,51.6875
Carex_astricta|NA|spm00004420|Uncinia,-39.62453994,173.049396,102.82,88.1,46.64,3430.8,202.56,14.26,188.3,71.46,136.5,146.04,57.9,2225.8,236.92,120.94,18.26,678.22,434.74,451.46,641.4
Carex_asturica|SPA|spm00004385|Paniceae,42.33633605,-5.394042183,87.96035242,99.53744493,38.8722467,5272.343612,235.4273128,-17.6784141,253.1057269,59.84581498,158.2026432,158.6123348,24.79295154,923.6740088,115.4273128,38.20704846,29.01762115,316.8942731,140.9118943,143.5814978,284.1145374
Carex_asynchrona|MXE|spm00000257|Griseae,22.70776986,-100.0414509,177.4285714,149.2857143,62,2931.714286,292,54.14285714,237.8571429,201.5714286,147.5714286,208.8571429,136,1017.428571,218.5714286,19,78.71428571,523.4285714,68,395.1428571,75
Carex_atherodes|BRC|spm00001849|Carex,55.28033986,-46.75508148,29.95315315,103.9891892,25.79099099,10187.92613,232.3621622,-165.1711712,397.5333333,134.3891892,-56.38738739,158.1783784,-103.6774775,543.4198198,78.23603604,23.14594595,41.4036036,210.9567568,77.04504505,195.2414414,97.11351351
Carex_athrostachya|CAL|spm00000727|Ovales,40.47438427,-118.9382761,67.25822168,143.952497,43.52862363,6497.146163,255.9269184,-74.19610231,330.1230207,16.09378806,128.9951279,153.0487211,-10.30085262,769.6114495,128.8660171,11.9683313,60.50548112,356.9317905,52.21680877,68.30328867,338.4214373
Carex_atlantica|PEN|spm00005432|Stellulatae,38.62102695,-77.61328957,119.7020057,114.4040115,33.76790831,7923.028653,286.9541547,-49.61318052,336.5673352,135.469914,93.76790831,218.8108883,14.68767908,1231.959885,131.5644699,77.48424069,15.22063037,366.9054441,255.4441261,320.1489971,300.3266476
Carex_atractodes|MXE|spm00000256|Granulares,18.5613888,-95.8664998,164.4,148,71,1590.8,265.4,57.8,207.6,176.8,148.8,181.8,141.8,988.6,192.2,10.8,81.6,503.2,40.6,350.2,45.2
Carex_atrata|AUT|spm00002172|Racemosae,61.99512238,9.266028558,9.621682292,68.45041595,27.61574013,6259.677407,143.1441965,-103.5429816,246.6871781,41.67489766,-1.543773934,92.72058629,-66.7030239,1077.213126,128.6634095,54.90822659,26.06404331,354.3830714,182.9976231,280.9508781,268.804965
Carex_atratiformis|ABT|spm00001751|Racemosae,52.91711855,-96.53264909,-8.456431535,107.813278,26.1120332,10402.26556,195.593361,-215.1286307,410.7219917,78.29875519,-77.30290456,120.7136929,-145.1244813,723.253112,90.9253112,36.84232365,34.08713693,250.6970954,125.9045643,234.2240664,151.0414938
Carex_atrofusca|PAK|183078|Aulocystis,63.28036983,3.844214365,-9.407365821,72.19110712,25.83359533,7304.484393,140.8311251,-139.4756344,280.3067595,51.59330788,-38.02178307,87.09162362,-99.2517404,900.4978666,110.4785538,44.78082192,30.73815405,302.8030541,148.46755,254.0303166,219.2730743
Carex_atropicta|AGS|spm00000519|Racemosae,-46.32690831,-70.33054138,66.25,106.9375,48.625,4093.5,184.9375,-31.0625,216,36.0625,96,117.375,12.75,436.75,59.4375,21.125,33.9375,163.3125,70.375,79.4375,146.5
Carex_atrosquama|MNT|spm00001720|Racemosae,55.4913154,-125.6155424,-24.33522727,112.7215909,29.375,9226.9375,174.5909091,-207.4204545,382.0113636,60.83522727,-61.38636364,92.64772727,-141.1704545,574.0852273,80.55681818,27.76136364,36.90909091,214.6022727,95.85227273,198.9431818,126.0113636
Carex_augustinowiczii|KOR?|spm00000322|Racemosae,39.13729572,137.4817957,54.25,85.75,25.78571429,8632.214286,219.9285714,-111.2142857,331.1428571,150.3214286,-43.32142857,163.75,-56.07142857,1654.785714,245.2142857,65.39285714,43.92857143,675.5714286,208.4642857,669.8928571,234.8571429
Carex_aurea|NA|spm00000767|Bicolores,46.15928445,-104.2984975,35.97870662,122.9984227,32.52287066,9098.937697,237.1837539,-148.5252366,385.7089905,76.32255521,3.922712934,150.772082,-81.16955836,715.6293375,98.69400631,28.42586751,41.26182965,273.0662461,99.7137224,170.6987382,202.9329653
Carex_aureolensis|MSI|spm00000770|Squarrosae,30.17338152,-89.61731783,166.2112676,126.0985915,38.02816901,7416.605634,328.8450704,-5.704225352,334.5492958,182.8873239,166.4788732,257.9014085,66.25352113,1275.676056,143.8732394,71.71830986,21.30985915,390.3239437,252.5352113,312.0985915,299.7887324
Carex_austrina|MRY|spm00000790|Phaestoglochin,38.26036342,-95.40808878,128.172973,129.8594595,31.69189189,9545.243243,327.5027027,-76.5027027,404.0054054,212.6162162,10.42702703,247.5837838,0.113513514,889.1405405,123.772973,28.61621622,42.72972973,328.7567568,100.5135135,298.6594595,106.3513514
Carex_austroalpina|SPA|spm00000535|Aulocystis,44.86334629,7.263993428,58.2826087,80,31.30434783,5996.869565,195.1304348,-56.45652174,251.5869565,69.02173913,77.56521739,135.2391304,-16.76086957,1064.978261,112.9347826,59.67391304,19.60869565,320.8043478,207.9782609,269.0434783,239.5217391
Carex_austrocaroliniana|NCA|spm00001729|Careyanae,35.04686427,-82.68391164,140.4545455,131.5454545,39.45454545,7294.909091,301.0909091,-28.36363636,329.4545455,118.3636364,150.9090909,231.5454545,43.36363636,1439,160.5454545,90.63636364,16.18181818,430.0909091,296.0909091,377,369.0909091
Carex_aztecica|MXS|spm00000254|Indicae,18.85341662,-98.81652315,190,141.9230769,68.84615385,1695.538462,295.0769231,88.61538462,206.4615385,198.8461538,185.7692308,211.5384615,167.6923077,1131.076923,232.3846154,10.23076923,90.61538462,627.6923077,39.76923077,273,62.92307692
Carex_azuayae|VEN|spm00000593|Phacocystis,-1.4628,-78.1869,169,103,82,558,234,109,125,163,171,173,159,1962,264,104,28,680,336,375,665
Carex_baccans|TAI|spm00005149|Polystachyae,22.49251161,113.6291294,185.2156863,82.1254902,43.26666667,3845.929412,274.454902,81.11372549,193.3411765,222.0352941,145.7176471,229.345098,132.4313725,2137.447059,366.5333333,49.14509804,65.96470588,997.7254902,171.9843137,881.145098,207.3960784
Carex_backii|BRC|spm00002007|Phyllostachyae,47.23686979,-87.45833751,40.26605505,115.0458716,26.48623853,10792.94495,251.1284404,-178.8440367,429.9724771,147.1192661,-81.71559633,172.7247706,-105.3394495,754.0183486,90.8440367,38.43119266,31.55963303,254.1743119,129.2752294,245.9541284,140.2844037
Carex_baileyi|KTY|spm00000751|Vesicariae,41.68546815,-76.32876767,76.67391304,117.326087,31.06521739,9076.043478,264.7391304,-110.8043478,375.5434783,159.8478261,-25.32608696,189.673913,-45.08695652,1095.130435,114.4565217,67.97826087,15.2826087,321,220.9782609,313.5217391,227.1086957
Carex_baldensis|SWI|spm00005242|Baldenses,46.56670981,10.76513825,65.44444444,82.33333333,30.25,6492.694444,206.9166667,-60.36111111,267.2777778,138.6388889,-14.22222222,146.7222222,-18.94444444,948.5,117.8333333,47.16666667,30.91666667,331.5555556,151.25,329.1111111,152.2222222
Carex_banksii|CLS|spm00000545|Pellucidae,-43.8769467,-70.5330684,65.60465116,114.5116279,51.34883721,3907.906977,190.9534884,-28.04651163,219,40.11627907,98.95348837,115.2790698,15.1627907,848.5348837,135.1162791,28.90697674,46.44186047,369.8604651,102.4651163,118.1162791,338.5348837
Carex_barbarae|CAL|spm00001449|Phacocystis,37.17821511,-120.9743345,143.2948718,132.792735,52.10042735,4454.314103,286.5320513,29.18376068,257.3482906,92.29273504,196.9679487,201.2222222,88.89316239,674.7692308,136.5662393,2.297008547,86.3034188,360.1324786,13.06837607,19.16025641,353.2628205
Carex_barrattii|ALA|spm00000748|Limosae,40.40091985,-74.21490704,112.3846154,108.6538462,30.46153846,8569.230769,290.5769231,-58.5,349.0769231,154.9615385,21.34615385,221.3846154,0.192307692,1135.730769,110.1923077,79.07692308,9.5,310.6153846,260.0769231,294.8076923,265.0769231
Carex_basiantha|SCA|spm00000637|Phyllostachyae,30.89135473,-86.24865209,191,130.3181818,43.86363636,6179.045455,330.2272727,34.47727273,295.75,219.5,187.3636364,266.2727273,108.1363636,1408.045455,177.4772727,71.40909091,28.13636364,482.6136364,245.2045455,443.3636364,342.2954545
Carex_basutorum|NAT|spm00000146|Schoenoxiphium,-30.57063429,26.73452286,135.5714286,136.1428571,54.14285714,3966.857143,254.1428571,3.571428571,250.5714286,167.2857143,95.57142857,182.2857143,81.14285714,812.4285714,122.8571429,16.14285714,58.28571429,348.2857143,60.42857143,300.4285714,104.4285714
Carex_bathiei|MDG|spm00002195|Indicae,-13.99618645,48.55860982,246.1818182,106.4545455,71.09090909,1341.454545,312.5454545,164.1818182,148.3636364,257,226.7272727,258.4545455,226.2727273,1675.909091,402.9090909,14.27272727,98.18181818,1034.727273,54.63636364,745.0909091,55.27272727
Carex_bebbii|MAN|spm00000745|Ovales,48.84390921,-96.40743356,33.97131148,113.704918,27.07581967,10525.93238,242.6331967,-177.1004098,419.7336066,116.4836066,-52.90778689,163.0348361,-107.1905738,713.7868852,92.29098361,34.42213115,35.7192623,257.2151639,116.1106557,222.522541,151.9446721
Carex_bella|COL|spm00001721|Racemosae,37.47687847,-106.3921156,21.30555556,151.5694444,41.625,7330.791667,210.5277778,-151.625,362.1527778,87.875,16.81944444,116.4444444,-69.43055556,672.5416667,82.11111111,32.16666667,27.875,219.1527778,116.5138889,195.8888889,153.1666667
Carex_bequaertii|KEN|spm00000176|Rhynchocystis,0.74713965,35.95526215,146.5,130.8,81,812.1,229.75,68.05,161.7,147.55,141.5,156.05,135.45,1224,214.9,26.45,60.9,514.1,117.5,345.8,244.05
Carex_bhutanensis|CHT|spm00003407|Kobresia,29.42597259,90.22555406,6.818181818,143.969697,43.75757576,6441.560606,149.9848485,-175.8333333,325.8181818,84.72727273,-67.56060606,86.74242424,-77.09090909,320.5,91.03030303,0.757575758,118.0151515,224.3636364,7.075757576,221.5909091,10.56060606
Carex_bicknellii|INI|spm00000744|Ovales,40.45906401,-89.2071198,107.5968586,118.591623,29.39790576,9737.099476,303.5863874,-93.94764398,397.5340314,186.7643979,-10.14136126,228.3717277,-23.83769634,969.8429319,119.1937173,41.23036649,32.70680628,326.2774869,141.460733,306.3141361,143.1937173
Carex_bicolor|ARK|spm00001622|Bicolores,61.98263663,-15.76876635,-14.55707317,72.63317073,26.77658537,7330.766829,135.8653659,-145.3892683,281.2546341,46.0302439,-41.90146341,81.91902439,-103.8634146,857.7521951,103.2068293,46.65756098,29.04682927,280.7482927,152.4517073,240.3082927,203.4565854
Carex_bigelowii|NA|spm00003230|Phacocystis,62.95100122,-3.551522662,9.460687321,66.80239521,27.69727935,6377.616571,142.7004686,-104.5258396,247.2263083,38.16707889,-2.846784691,94.2790289,-67.92469409,1060.019656,127.3299271,54.78631867,27.74166884,350.5747852,179.0696433,259.7803957,276.4320489
Carex_biltmoreana|NCA|spm00002068|Paniceae,35.51101933,-81.60788367,124.3333333,133,40,7174.666667,285,-43,328,104.6666667,143,214,28.66666667,1605,164.6666667,112.3333333,10.33333333,448.6666667,361.6666667,406.3333333,412
Carex_binervis|FRA|spm00004357|Spirostachyae,56.1756691,-3.528481087,74.87235218,63.0504697,34.42300608,4260.186038,173.1922085,-7.245072757,180.4372813,43.10609689,91.12249033,131.6572113,23.13013446,1348.835237,157.7956346,71.57165224,25.00239455,449.8888377,229.7900166,274.9770676,393.9749493
Carex_bistaminata|CHT|spm00003405|Kobresia,45.14851897,98.95402216,-50.91428571,122.1285714,30.8,10118.72857,149,-260.9714286,409.9714286,65.47142857,-146.1285714,76.92857143,-179.6714286,366.5714286,75.38571429,5.514285714,75.45714286,200.1714286,20.71428571,192.3,27.74285714
Carex_blakei|NSW|spm00004358|Spirostachyae,-36.77042015,147.3283604,89.64344262,109.5,44.32786885,4705.811475,228.1229508,-15.95901639,244.0819672,45.18442623,148.7622951,149.5040984,29.21311475,1397.258197,165.6106557,60.92213115,26.81557377,466.3770492,221.2459016,227.4918033,445.4959016
Carex_blanda|TEN|spm00001819|Laxiflorae,39.86006153,-86.58197524,111.5049724,118.5303867,30.73812155,9262.453039,301.2453039,-80.56906077,381.8143646,180.4674033,12.67734807,226.8154696,-12.75801105,999.0441989,114.7900552,50.78342541,25.63314917,316.4519337,171.7469613,291.3469613,183.8828729
