,decimalLatitude,decimalLongitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Carex aethiopica,0.490436476,0.436283799,1.558822504,2.525636872,0.267125464,81.7329751,2.316101199,3.026440748,4.665533637,3.371039781,5.106746887,1.577197424,2.085546254,29.55576814,5.642129814,2.677130333,3.292837737,15.94982315,8.6701263,9.833306569,16.74850888
Carex aggregata,0.170003953,0.694457762,1.62187222,0.927539168,0.254919284,79.4908941,1.513828738,2.610757324,2.729468315,3.049841925,3.607171004,1.329067741,2.452977034,13.77422138,1.424462039,2.031268579,1.489334558,3.083506403,6.668259857,2.892080568,6.926103489
Carex alajica,3.950119689,10.22272501,28.55772451,13.04586408,4.203050954,1048.082385,26.90752061,39.90240395,36.31959489,43.43841405,52.44322805,24.45865965,37.42531277,290.7682274,44.91124495,14.98871606,11.37652625,120.9016699,49.86644131,84.03740704,96.9936332
Carex alata,0.5221302,0.663718778,4.691761212,1.372773362,0.717443943,156.0780342,2.374273529,6.200064318,4.481306166,9.16621813,9.302755386,2.77227046,6.647992806,19.38390284,3.677356861,1.547717664,1.205398725,9.914681321,4.623789661,10.65020781,7.725262046
Carex alba,0.040505951,0.152837499,0.516602012,0.144172114,0.036388812,17.55540573,0.512177548,0.717460543,0.586580219,1.295412771,1.122561233,0.462807285,0.634578768,4.286442693,0.588903931,0.299816924,0.210287573,1.771231376,1.005799039,1.853486839,1.265453066
Carex albata,0.332334931,0.313856767,2.562404911,2.112932201,0.422809888,57.49180939,3.778603362,2.062602483,3.223917529,3.187996475,2.343990952,2.905436016,2.355317529,50.26081523,9.960073778,3.816119831,1.210158042,25.99366465,11.25256978,26.30815927,11.7358479
Carex albicans,0.166216669,0.369616606,1.220310184,0.49960798,0.230952562,51.49699038,1.049100276,1.628710101,1.49894047,2.859636959,3.529813239,1.018808444,1.681339611,7.609608485,1.229078064,0.855897368,0.559459665,2.895364055,2.63814092,1.555085006,3.673776195
Carex albolutescens,1.62485425,0.968844512,3.057484156,1.148463156,1.164758021,208.1079319,3.378511135,4.788666993,6.220804728,6.677498595,8.10948375,3.139614542,4.829575801,20.60089884,3.249995744,1.386617089,0.761636163,8.285260087,4.328893296,8.268657458,8.066088916
Carex albonigra,0.660736783,0.852488148,3.038998906,1.283652924,0.483974391,177.0129038,2.116943352,5.187263034,4.70247636,4.243001417,6.38788572,1.733703444,5.042978165,22.41614616,3.504908022,0.902744156,1.184230928,10.04030582,3.020926249,4.121950784,10.56626666
Carex albursina,0.154069136,0.399686261,1.49044306,0.709991459,0.197379577,43.97113855,1.332439258,1.802692861,1.397522534,3.631813111,3.308658147,1.269155588,1.890930471,8.744481106,0.828143839,1.055781866,0.544226809,2.237469864,3.123342002,1.947041084,3.507465395
Carex allanii,0.739672103,0.850264163,5.14781507,2.377232544,0.288675135,123.5815945,2.872281323,6.432220207,5.086595796,11.17467927,18.03066661,4.300444996,6.61880971,148.0205504,15.56537389,7.157832626,1.092906421,46.68534679,27.63602721,22.86926073,50.46698591
Carex alma,0.078371148,0.104727698,1.257796835,0.582203393,0.190172201,37.3655217,1.318922651,1.292395133,1.178870879,2.256123867,1.349630414,1.300780502,1.318282033,8.76770798,1.848384263,0.195972401,0.608350386,4.883910473,0.743811762,3.379947763,4.148715362
Carex alopecuroides,2.809909272,2.222926831,9.068102236,3.595567351,4.214268848,310.7899541,9.636469328,11.02335139,5.524642235,9.008767659,11.43083176,8.923180544,11.03975367,104.3764266,21.8127133,8.601695419,3.075922676,54.08977872,27.95284496,54.76327547,49.20011718
Carex alta,0.805467677,1.95416803,15.49340361,3.564641169,2.155097317,446.4203413,17.39377283,16.7067518,11.22996982,15.47833611,13.48946091,16.71313522,15.43358531,50.00551081,10.68690788,2.664374014,3.406040386,29.82534344,9.685326817,30.60582733,9.775024865
Carex amphibola,0.224628721,0.492535386,2.043113169,0.711167646,0.266885138,61.77719385,1.422440098,2.653841096,1.899631123,3.979473878,6.030943931,1.484880589,2.748615785,10.74307818,1.296265902,1.068439388,0.518040568,3.219414723,3.306275571,2.641183001,4.763183276
Carex amplifolia,0.203051048,0.115307136,1.645195679,1.298955813,0.298595966,62.09347572,1.893634889,2.318088313,2.761232089,2.103357325,1.567091725,1.380326183,2.170384592,25.2979433,4.511920225,0.613753214,0.989047465,12.775466,2.325864449,2.431288888,12.11138064
Carex andersonii,3.889357414,0.477223158,4.702245327,11.28912948,2.40370085,137.0048661,13.54416644,6.887992773,14.74599757,15.32245991,17.62889043,6.437735972,4.725815626,537.534185,91.87007734,13.16983084,9.386751894,236.5297726,55.67864143,49.83416945,246.1749604
Carex andina,1.776305374,0.103826094,17.7270979,13.05565012,0.954521404,365.5890832,8.995369179,23.04440159,20.93229828,20.25298332,14.68937636,14.68937636,21.18555588,160.6961245,29.26507209,3.063222704,9.762740963,84.17508209,11.68688724,11.68688724,79.9223234
Carex andringitrensis,3.950119689,10.22272501,28.55772451,13.04586408,4.203050954,1048.082385,26.90752061,39.90240395,36.31959489,43.43841405,52.44322805,24.45865965,37.42531277,290.7682274,44.91124495,14.98871606,11.37652625,120.9016699,49.86644131,84.03740704,96.9936332
Carex angustata,0.123814554,0.40135653,1.248680874,0.776539965,0.19441267,48.82871018,1.414063571,1.684858543,1.773964925,2.401591808,2.547491363,1.307192268,1.479598322,16.92935858,3.181912949,0.555972381,0.723476401,8.78030863,1.822814991,2.81755534,9.123413082
Carex angustispica,1.443809159,0.883707872,9.814954576,2.185812841,3,487.4718225,13.92040868,3.179797338,11.6952032,14.31005862,6.244997998,13.69103519,4.255715112,326.6732993,79.4068287,9.820613242,3.179797338,164.8477412,30.68296668,112.1046138,31.79622619
Carex anisostachys,0.337726713,0.575613803,6.620583491,2.923331479,0.61991378,96.31027893,6.74047033,7.712609383,5.018501556,6.536187168,7.458535835,6.78952548,6.651148564,127.9671056,21.41360172,3.770604516,2.088635725,58.06778939,11.82389257,33.21423189,17.32593353
Carex annectens,0.138877441,0.490466847,1.373210296,0.54188024,0.161733735,43.3348886,1.24289381,1.767470358,1.496993867,3.198004069,4.02922636,1.171424621,1.775754195,7.811950192,0.875754211,1.19147514,0.728803516,1.936565688,3.711508087,1.496239267,4.541247016
Carex anthoxanthea,0.323151574,7.227804155,2.916019572,1.587867763,0.267448227,191.2663186,1.650396393,6.004496925,6.70440361,2.498045098,5.465256255,1.224906187,5.194423275,61.0177112,9.168485408,2.694698576,0.874060106,23.16163959,9.170647055,10.09052203,19.89415274
Carex aperta,0.318379078,1.381075479,3.812072173,2.05843492,0.579414174,182.3353543,3.507141287,6.800691198,6.617571783,7.494268575,9.395599449,3.295407287,5.59510803,61.43484654,10.55286674,1.810763514,1.86200655,30.2833761,5.641951088,7.776051917,30.07419564
Carex aphylla,0.810031827,0.523284783,6.134283758,2.602363228,0.774317183,98.18745104,5.890909425,5.654577122,3.989542607,8.962161922,5.479971403,5.78135157,6.567597227,75.98873948,13.16417314,2.378884383,4.584299387,37.74083989,9.711988842,9.702066099,35.78099268
Carex appalachica,0.352216961,0.488358506,2.524504779,1.488360095,0.571626659,126.4175195,1.667353607,4.165176445,3.499560962,8.186153551,8.833704472,1.68748048,4.122717905,18.30336928,1.62575222,1.707825128,0.396728116,4.552137817,5.144908086,4.203169255,4.92182146
Carex appendiculata,1.924679803,2.693544639,12.05789106,1.654893483,0.529345662,528.4864797,4.544912426,18.46280793,16.3829961,5.577909213,18.17055904,5.517090505,17.57540547,89.19878095,12.79790748,3.985676616,1.448291027,34.97809182,13.289034,34.88987468,14.83817633
Carex appressa,0.031420587,0.095561616,0.242533428,0.153381151,0.018735909,7.10206107,0.280636637,0.237501353,0.338675518,0.521996572,0.362135729,0.256774701,0.248085213,3.899373145,0.468621148,0.222776939,0.085015765,1.295193326,0.740988472,1.158305467,1.140621089
Carex appropinquata,0.062776853,0.061437951,0.295775557,0.114851683,0.043169533,11.42079902,0.222023533,0.471414449,0.403740683,0.404749861,0.398396153,0.197749634,0.414707975,2.458165847,0.304017977,0.140950467,0.074323877,0.821758672,0.488907246,0.658384172,0.71315575
Carex aquatilis,0.063130464,0.468459414,0.431527589,0.146887419,0.049910279,21.09602427,0.30088253,0.724070259,0.676300447,0.419821554,0.744845272,0.261974488,0.655069105,2.682595869,0.352490038,0.140492456,0.108737265,1.006280594,0.456151779,0.459945373,1.058466439
Carex arapahoensis,0.154039384,0.131421152,1.644430573,2.059165208,0.275062155,69.50925408,2.730877848,2.905926986,3.931389637,10.66557667,3.313612462,2.136985265,1.628407788,24.0476885,2.250475484,0.774698276,0.65352554,6.691051429,3.380733429,4.680557137,7.391488399
Carex arcta,0.41667879,1.590201037,3.509829241,1.201930194,0.612065754,219.4321389,2.168576343,7.230688095,6.704670501,4.274441404,8.187239175,1.713906918,6.367565853,35.77225144,6.234215013,1.460636253,1.306166638,17.75975865,4.519883589,5.71282764,18.42383741
Carex arctata,0.10309178,0.345383388,1.089231884,0.50906992,0.106311201,44.92644647,0.87138556,2.0561922,1.730690314,3.16355902,2.440612891,0.826619478,1.659371145,6.884235048,0.636900992,0.764210164,0.42014235,1.855976282,2.123368075,1.899542169,2.688870554
Carex arctiformis,0.671823042,1.043408439,4.84003367,2.918253537,0.816496581,164.5867932,5.791516785,6.029633611,6.983777498,4.681523968,5.442459956,4.238819717,5.732663075,154.2601293,20.75908993,6.316498092,2.476743681,57.40803838,20.40067401,25.30210978,53.16875649
Carex arenaria,0.017381629,0.031395616,0.071913175,0.054204321,0.02675997,4.375339605,0.080645472,0.171988095,0.162411082,0.231813252,0.173307725,0.054581265,0.117181889,1.190882813,0.154634705,0.065591404,0.037441607,0.452026602,0.204690727,0.209305796,0.391002937
Carex argyrantha,1.356979494,2.911171031,13.16410594,3.406562972,0.944158878,506.963597,9.149588264,21.53327874,17.176181,20.32665763,28.9072763,8.810873276,19.22218028,59.81782826,5.474381986,5.345057219,2.826132379,16.90351461,15.91612694,9.25809755,25.63788287
Carex arkansana,0.248808746,0.33187011,2.218153478,0.750514547,0.3396067,100.1667023,1.240612349,3.790533502,3.316390033,4.668757225,12.45482789,1.344253527,3.608390935,17.39970742,1.75219161,2.500935843,1.500579493,3.190422404,8.513728957,4.44316567,10.94961391
Carex arnellii,4.005398444,8.378283879,14.88699996,5.778655306,2.843774529,1279.933961,11.00446338,33.18612958,38.68251612,9.853276286,25.1607333,9.128913055,31.51530241,196.4511935,26.75951099,11.87274415,9.264828847,75.70266083,37.01227475,75.93663653,37.32168917
Carex assiniboinensis,0.339626621,0.367914689,3.097461402,1.133191057,0.268779721,90.50686168,2.354543213,4.126319502,2.257146518,2.323082139,4.294681298,2.196256957,4.121518473,13.73671149,1.651479453,0.384724196,0.549419423,4.809660172,1.38568743,5.008016623,1.380318935
Carex asturica,0.176040288,0.110121308,1.161576297,0.54970373,0.077974966,34.77715146,1.442135132,1.275367683,1.546336166,1.806805883,1.245833597,1.250228092,1.19806542,13.99613463,2.215401196,0.65542161,0.596363923,6.375918281,1.970862891,1.944887896,6.812967874
Carex asynchrona,0.360533136,0.57763849,3.981248565,8.464813124,1.463850109,88.92096927,0.690065559,7.654530471,7.89945318,3.337072732,3.727996672,3.894003763,4.342481187,220.0056122,54.20062253,5.437961803,1.340118789,112.6431063,16.04012825,74.36186573,15.58692981
Carex atherodes,0.323970845,2.890958476,1.392564019,1.138677772,0.229514527,94.646554,1.427427648,2.871076603,3.208997593,2.040844279,3.157608015,1.063329439,2.451163964,6.245001425,0.754601497,0.450130989,0.623589994,2.142830663,1.392623573,2.071210112,2.341950995
Carex athrostachya,0.160147663,0.151208294,1.135264607,0.594908169,0.192737397,45.05775024,1.138854693,1.714779096,1.535324518,1.75627222,2.298662165,0.957440852,1.573989759,12.01300499,2.293785047,0.315878043,0.671590777,6.361643123,1.003982894,1.581983864,6.494745871
Carex atlantica,0.257054775,0.457619797,2.437087045,0.946717305,0.316116432,62.09571405,2.134373339,2.786991468,2.030866837,5.074934547,5.076551718,2.005525651,3.002529957,9.357457909,1.510981404,0.631885482,0.404986717,3.971257171,1.984046138,3.974323899,3.73555964
Carex atractodes,1.280004691,2.08799346,12.11032617,9.364827815,1.048808848,282.0823284,14.61711326,15.86946754,16.47604321,11.87602627,12.9514478,12.2490816,13.39925371,180.3015807,36.82037479,2.416609195,4.142463035,89.62220707,8.829496022,71.84316251,8.181686868
Carex atrata,0.081234235,0.183293739,0.299675083,0.127432664,0.040406784,14.48239515,0.266455466,0.492498199,0.533806255,0.5516697,0.628578752,0.232085112,0.440095798,5.072902959,0.611705735,0.25809502,0.086883544,1.723535026,0.86903117,1.082731686,1.552903718
Carex atratiformis,0.409538666,1.852264545,2.008556182,1.490440943,0.383259098,156.8643083,1.96308493,3.980204763,4.54292645,4.500542632,4.634140416,1.535997547,3.771059505,20.16842103,1.761126728,1.519866187,1.123426902,5.094516226,4.928673138,4.425430839,6.088086093
Carex atrofusca,0.093417116,0.591259543,0.55919347,0.186067304,0.057723233,31.43323834,0.271437897,1.013698839,0.97890862,0.60345325,1.161997455,0.270747948,0.913142743,6.155357177,0.68567333,0.338837892,0.206425478,1.92894089,1.121293881,1.136162192,2.014719165
Carex atropicta,1.602291162,0.34079739,5.621017108,7.103091316,1.03631961,200.8996018,10.23534267,5.587537285,11.43860423,6.039087093,10.23026556,7.343293426,4.55384453,62.79321221,9.624174748,4.135088673,4.818772968,26.5164601,12.90699907,15.72417691,25.96343583
Carex atrosquama,0.435882097,0.941644241,2.102172821,1.00510641,0.320067464,145.9601009,1.699699605,3.667782188,3.717115456,4.150145599,4.364800643,1.454662891,3.586233085,12.87430457,1.394579393,0.916904329,1.216533096,3.905798882,2.914463257,3.318540165,4.442219147
Carex augustinowiczii,0.94402377,2.03392153,3.950402925,2.112194721,1.074916781,236.7568894,3.644106343,6.649663594,6.600382025,7.939112736,8.037278021,2.991953876,6.571529711,82.1392357,15.09572327,4.02715536,2.764918236,41.50417138,11.84278476,42.71340649,14.40702914
Carex aurea,0.214613486,0.598216135,1.323649818,0.666613486,0.253409221,74.09236344,1.118951345,2.285920171,1.944218159,2.348262975,3.301725575,1.026131672,2.144733328,8.926065798,1.325047648,0.619215469,0.604214927,3.739471916,1.916183529,2.521716434,4.378798499
Carex aureolensis,1.730015797,1.164294094,2.789814436,1.210310323,0.807154086,192.5593498,2.056216749,5.063714543,5.721708062,6.149137424,8.834878273,2.251952422,4.890458756,29.14336846,2.78353376,2.351521028,1.45026072,7.342244972,8.131510386,10.00585653,11.11021999
Carex austrina,0.151093221,0.314625208,1.433386375,0.689785001,0.189426576,52.70521697,1.13483265,2.063093013,1.827304612,1.974363835,4.243108967,1.054409232,2.021321543,13.37645777,1.301274627,1.278123709,0.83226798,3.015685853,4.187645559,2.868707265,5.586874417
Carex austroalpina,0.179450197,0.527421674,4.311725732,1.43590938,0.393018254,81.90955663,5.403488647,3.938501459,3.514301504,10.11573076,9.906551396,4.671341839,3.927751478,33.54115633,2.195164245,3.04412864,1.535247155,6.985880831,10.96980877,7.524129078,14.0827005
Carex austrocaroliniana,0.153749496,0.888495711,5.560189069,1.647938858,0.474123811,89.94154208,4.804268075,6.021586513,3.093581732,28.40431233,12.80799079,5.507620566,5.737076746,58.04684629,7.24551728,4.729544908,2.088140459,17.94661505,15.98547895,17.25688268,23.18677309
Carex aztecica,1.150002648,1.649211556,7.143223434,5.921994573,1.422557078,317.9250358,9.54843358,9.917310986,11.71489047,7.721802428,8.464975992,8.698375463,8.541290823,135.9985135,25.70132653,3.430918704,3.983199432,71.35154793,11.64383508,40.35165932,14.97967064
Carex azuayae,3.950119689,10.22272501,28.55772451,13.04586408,4.203050954,1048.082385,26.90752061,39.90240395,36.31959489,43.43841405,52.44322805,24.45865965,37.42531277,290.7682274,44.91124495,14.98871606,11.37652625,120.9016699,49.86644131,84.03740704,96.9936332
Carex baccans,0.371864573,0.6507695,2.478749838,1.104583425,0.715429675,91.09160121,2.733983496,3.134772356,2.466880772,2.248443066,3.121432172,2.438023194,3.040885215,46.83611431,7.957708485,3.126105629,1.278833824,21.70966348,9.911183709,22.56060044,10.79355347
Carex backii,0.356192963,1.385209476,2.547497896,1.580084672,0.441750502,145.846781,2.154344358,4.763149517,4.221493688,5.361161547,5.358155979,2.057526051,4.282819755,20.84460646,1.238688152,1.998485962,1.797439905,3.674739608,6.281777815,3.792314449,7.140751472
Carex baileyi,0.378005357,0.688438209,3.610646408,1.041670132,0.502555954,127.77321,2.900846917,5.407600624,3.957467902,7.841667931,8.653448914,2.85173976,5.066116111,18.81767616,1.399001204,2.174842796,0.965923274,3.771236166,6.563880755,3.930770367,6.775932705
Carex baldensis,0.135318812,0.087116984,3.930839493,1.069044968,0.25,63.18145724,5.666439071,2.850272273,3.104428765,3.620521925,3.546988687,4.732966302,3.028160017,25.26244782,3.867959554,1.969811851,0.527610667,11.24555958,6.291639073,11.50740119,6.410075293
Carex banksii,1.002667156,0.371373306,4.25386796,4.097155118,0.599818837,102.3198242,7.700868879,3.65238639,6.377910384,5.797162909,6.552197225,5.254363327,3.705213207,73.23449759,13.57629723,2.520088494,3.381485373,37.21595386,8.890645403,10.37220972,37.97646513
Carex barbarae,0.116426905,0.136886098,0.889946275,0.967069987,0.283342134,66.72784182,2.08325072,1.076504429,2.655880072,1.039011237,1.513270482,1.360662126,1.061193134,13.5744359,2.560157586,0.311975072,0.368454699,6.690161267,1.104767003,1.496261716,6.531153976
Carex barrattii,0.322198252,0.460658353,2.800042265,2.199959655,0.468157663,79.46698023,1.96364894,4.132516462,3.898687383,11.21873169,10.48485242,1.939926187,3.857467974,8.578785586,1.689805843,0.714515601,0.481184436,3.822635789,2.143988431,2.787896494,4.388068815
Carex basiantha,0.223543939,0.584984058,2.301529963,0.563863079,0.587565757,129.3566368,0.81468008,3.704960482,3.750845571,10.57713538,4.49101651,0.836763394,3.931037513,12.98136388,3.38109541,2.001404946,1.646506619,9.614351055,6.304096083,16.48476428,9.642915196
Carex bathiei,0.29865402,0.27785119,3.124152778,2.033195588,0.342571703,25.72948914,4.557438747,2.198421673,3.339223446,2.430862174,3.531908856,3.102385113,3.264383303,51.62213312,23.95087948,2.170424798,3.324340486,46.08196076,9.264077963,33.32988136,9.281546608
Carex bebbii,0.194242019,0.783545408,1.416914966,0.750841104,0.223751597,94.69099389,1.097962287,3.078650079,2.924926456,3.48340846,4.284522518,1.103244083,2.564354384,11.7668416,1.325383987,0.901466102,0.82278329,3.887422595,2.790633321,2.362693298,5.111682938
Carex bella,0.357885089,0.301455917,5.610939701,1.348770145,0.536769119,116.9800184,4.924785301,6.554885571,4.013702066,8.018829013,7.690469438,4.983301101,6.258541156,16.48518491,2.047227557,1.170516786,1.66630718,4.76578424,4.101604378,3.800355985,6.435517399
Carex bequaertii,1.693231116,0.83394722,8.39156845,4.374327016,1.615712325,115.1940674,9.992332587,7.95,5.963088214,8.643365268,8.20830773,8.76700603,8.111874013,73.51766705,14.99454287,3.670992265,5.67399423,31.811691,15.2875078,26.44115612,36.07729093
Carex bicknellii,0.180435987,0.626798805,1.856285696,0.700591149,0.162625127,58.25668609,1.687049897,2.500347049,2.020339732,3.772339167,4.404872122,1.570398248,2.447339947,11.06575861,1.263230695,1.674356079,1.112636666,2.486060855,5.300663782,2.225575629,5.501771634
Carex bicolor,0.242214735,1.613629884,1.230977164,0.41055328,0.161710983,90.98864751,0.846914226,2.568574362,2.917738406,1.46275114,2.985648304,0.640501375,2.285156627,12.78915508,1.32351108,0.859920792,0.436327806,3.625928233,2.800965638,2.572432767,3.860993714
Carex bigelowii,0.034621126,0.277624168,0.309969355,0.101598372,0.037132727,18.90317006,0.219802724,0.583916837,0.631919315,0.377141496,0.608732169,0.194362981,0.516553011,3.734062911,0.424437062,0.20106231,0.077378981,1.220717573,0.645277528,0.598254442,1.23034658
Carex biltmoreana,0.463969887,1.762861726,10.1707642,2.645751311,1.154700538,279.5748757,15.53490693,6.557438524,9.073771726,68.2161597,22.72296929,13.86842938,6.691619967,245.6834006,25.65367637,17.07174404,1.201850425,63.01410777,58.29903754,44.12230477,74.04278043
Carex binervis,0.030791797,0.033009781,0.129097176,0.090579474,0.029455217,4.796606996,0.175784729,0.159410013,0.20849556,0.224686116,0.226554106,0.129145474,0.153652855,3.758151981,0.513611621,0.163784066,0.049162883,1.411199478,0.524698296,0.68915705,1.224505784
Carex blakei,0.04001733,0.062054391,0.968539556,0.439349209,0.128284974,20.03397545,1.252793623,1.079636088,0.777412967,1.226511082,1.092143917,1.003980776,1.049337114,14.17350796,2.15859898,0.485044506,0.393195446,5.948168986,1.732241874,1.409835869,6.271133058
Carex blanda,0.117483141,0.287042478,1.110746669,0.422088815,0.133161698,34.69450495,0.884089014,1.442564705,1.129200012,1.830765697,2.766551729,0.856632491,1.478941641,6.434051243,0.692709616,0.760563856,0.507093145,1.704149138,2.421354543,1.45924568,2.99401234
Carex bohemica,0.146918326,0.293400015,0.673501965,0.213671534,0.130308533,31.47660692,0.427490376,1.098524623,0.911960721,1.125083802,1.288634476,0.360250832,1.025478286,3.936444979,0.434257054,0.319506324,0.227092198,1.309479965,0.992461141,1.36746943,1.116442702
Carex bolanderi,0.160107718,0.110886977,1.278025297,0.852784855,0.252608829,52.29957509,1.447079244,1.750808641,2.128977108,1.682756695,1.400664574,1.128653625,1.657847953,18.34426591,3.184938697,0.438250613,0.621879921,9.007116526,1.588954694,1.765239016,8.572127486
Carex boliviensis,2.7552396,2.296514641,6.497940564,1.709944982,1.214894748,176.2208795,7.477141946,6.852101039,4.183918161,7.084437835,6.837973472,7.399643824,6.24672471,73.84397654,11.96728067,2.733850166,2.454621058,34.63025682,9.063797504,34.34677586,10.506334
Carex bonanzensis,0.377369758,1.774402876,3.9028811,2.093964351,0.37195457,110.5876077,3.144276801,3.532628091,3.906066972,3.724199145,7.780525913,2.711856979,3.524811523,9.538949245,1.608578499,0.575384207,1.527010918,4.417368831,1.603350621,4.751538719,1.897526757
Carex bonariensis,0.436479665,0.725270006,3.205785811,2.302762328,0.7014896,117.4154012,4.20719071,4.048608914,4.860230216,4.549886665,6.094511305,3.685836436,3.479134266,52.97500328,5.771553889,5.238233734,2.773580528,15.52403551,17.09350632,14.46600491,18.81411693
Carex borbonica,3.950119689,10.22272501,28.55772451,13.04586408,4.203050954,1048.082385,26.90752061,39.90240395,36.31959489,43.43841405,52.44322805,24.45865965,37.42531277,290.7682274,44.91124495,14.98871606,11.37652625,120.9016699,49.86644131,84.03740704,96.9936332
Carex borealipolaris,5.754950134,4.366067822,26.70882085,15.40075756,5.221749388,1503.082494,15.14687353,38.04361532,24.01758615,12.45703728,47.89601004,8.800568163,43.70354677,109.2463323,12.57157287,6.78928895,8.18297691,34.52020342,22.6206641,32.72477824,23.2617951
Carex borii,0.248539699,0.226052135,7.145866209,1.19488733,0.489821441,157.2781052,6.482990565,8.628901234,5.051382806,10.18647563,10.16416831,6.714279382,8.099430326,27.13329173,3.874724773,0.728286506,0.941814733,9.87694124,3.051830341,8.560053446,6.366780242
Carex boryana,2.50299719,2.319632641,29.67228411,19.54766255,5.456901848,260.2827522,22.42270675,36.11555528,20.86730563,25.82849417,31.71399971,26.15976554,32.33848756,170.8667447,54.73065361,10.52510227,13.57694124,142.3036659,38.0584346,130.7087517,48.5878357
Carex bostrychostigma,0.17857106,0.239879794,3.901260657,1.367267892,0.272727273,80.82195512,3.85008318,4.049895417,2.780689016,5.851184806,3.659246185,3.658794454,4.367990252,61.05092035,12.26976395,5.547242633,2.02749693,31.71466277,16.56357649,26.96741223,17.71561388
Carex brachycalama,12.85414055,8.407481311,28.63709715,15.16849806,7.993486932,1178.866334,26.24563456,45.65153338,43.0897803,28.58321186,37.66159627,29.5617292,35.67532994,705.0959007,69.45067194,51.93325043,17.33193103,190.6306966,175.3876659,161.4359393,250.3713908
Carex brainerdii,0.08523602,0.079913108,1.582952325,0.685202973,0.118408032,28.1088698,1.840126377,1.711016332,1.435412718,1.517889328,1.598326855,1.589505964,1.600350024,14.79774043,2.94365565,0.222726888,0.472838575,8.107997955,0.913880143,0.920171523,7.951351452
Carex brasiliensis,0.207240876,0.257642417,1.628615365,1.271373084,0.374587032,35.61260222,2.091473771,1.49266722,1.632582085,2.646019177,2.051670288,1.814515116,1.471365386,20.28900219,3.475775071,3.033226598,1.640460486,9.886470188,10.10983324,8.439354953,10.59528261
